Project Name,Borough,NTA - Neighborhood Tabulation Area,Income,Rented_vs_Owned,Level of Affordable in Building
STRIVERS PLAZA II,Manhattan,MN03,low,mostly_rented,mostly_affordable
STRIVERS PLAZA II,Manhattan,MN03,low,mostly_rented,mostly_affordable
STRIVERS PLAZA II,Manhattan,MN03,low,mostly_rented,mostly_affordable
STRIVERS PLAZA II,Manhattan,MN03,low,mostly_rented,mostly_affordable
11 Jackson Street,Brooklyn,BK73,low,mostly_rented,mostly_standard
1790 Clinton Avenue,Bronx,BX17,very_low,mostly_rented,mostly_affordable
Nelson Luquer,Brooklyn,BK33,low,mostly_rented,mostly_affordable
Nelson Luquer,Brooklyn,BK33,low,mostly_rented,mostly_affordable
Nelson Luquer,Brooklyn,BK33,low,mostly_rented,mostly_affordable
Nelson Luquer,Brooklyn,BK33,low,mostly_rented,mostly_affordable
Nelson Luquer,Brooklyn,BK33,low,mostly_rented,mostly_affordable
Nelson Luquer,Brooklyn,BK33,low,mostly_rented,mostly_affordable
Belmont Venezia,Bronx,BX06,low,mostly_rented,mostly_affordable
Belmont Venezia,Bronx,BX06,low,mostly_rented,mostly_affordable
Belmont Venezia,Bronx,BX06,low,mostly_rented,mostly_affordable
Belmont Venezia,Bronx,BX06,low,mostly_rented,mostly_affordable
Belmont Venezia,Bronx,BX06,low,mostly_rented,mostly_affordable
DOE. 1420 CROTONA PARK EAST,Bronx,BX99,very_low,mostly_rented,mostly_affordable
LOS SURES 383 HEWES STREET HDFC,Brooklyn,BK73,moderately_low,mostly_rented,mostly_affordable
201-207 7TH AVENUE (ANCP),Manhattan,MN13,moderately_low,mostly_owned,mostly_affordable
Park Monroe II,Brooklyn,BK61,low,mostly_rented,mostly_affordable
Park Monroe II,Brooklyn,BK69,low,mostly_rented,mostly_affordable
Park Monroe II,Brooklyn,BK79,low,mostly_rented,mostly_affordable
Park Monroe II,Brooklyn,BK79,low,mostly_rented,mostly_affordable
Park Monroe II,Brooklyn,BK79,low,mostly_rented,mostly_affordable
Park Monroe II,Brooklyn,BK79,low,mostly_rented,mostly_affordable
Park Monroe II,Brooklyn,BK75,low,mostly_rented,mostly_affordable
